FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
3.6126,1.3441,8.644,,,,,,
,,,,,,,,
0.0,0.1366,1.7167,,,,,,
1.1689,0.852,4.2972,,,,,,
1.7074,1.6097,6.8715,1081.37,0.91,1.0,0.96,0.09,0.1525
4.5579,3.7174,5.1783,,,,,,
2.5664,1.1102,0.0,,,,,,
,,,,,,,,
0.0,0.0,3.5072,,,,,,
3.0835,2.634,10.4026,,,,,,
2.5449,3.7745,8.75,1072.19,0.79,0.86,0.82,0.07,0.1842
2.6009,2.2555,7.708,,,,,,
1.435,0.0,0.0,,,,,,
,,,,,,,,
0.2946,0.5725,4.3267,,,,,,
0.5779,2.4626,4.2974,,,,,,
3.3816,3.1379,8.4488,1074.48,0.79,0.81,0.8,0.02,0.1544
2.5986,1.7427,5.0897,,,,,,
0.8877,0.5888,0.0,,,,,,
,,,,,,,,
2.9429,4.4083,6.8534,,,,,,
5.2842,1.6866,6.8071,,,,,,
3.755,2.5873,9.4483,1075.47,0.91,1.0,0.96,0.09,0.2705
1.4045,1.7501,8.3579,,,,,,
4.2824,2.6032,2.6744,,,,,,
,,,,,,,,
0.2725,1.6855,1.6925,,,,,,
3.6661,1.0377,4.3792,,,,,,
2.2759,2.6394,6.8165,1070.59,0.74,0.81,0.78,0.07,0.1681
1.7107,2.4985,10.2716,,,,,,
0.863,1.1461,0.8463,,,,,,
,,,,,,,,
0.2969,3.1239,7.7051,,,,,,
2.8735,2.8405,6.9675,,,,,,
3.1486,3.9332,14.6638,1075.93,0.91,1.0,0.96,0.09,0.2614
2.3194,2.5494,11.261,,,,,,
3.9921,1.1824,3.5526,,,,,,
,,,,,,,,
0.0,1.6918,6.1184,,,,,,
2.8132,2.5981,7.4483,,,,,,
3.0255,1.6294,7.4573,1072.25,0.82,0.9,0.86,0.08,0.223
2.3413,4.6332,8.5737,,,,,,
2.6637,2.1976,2.575,,,,,,
,,,,,,,,
0.0,1.3713,6.0584,,,,,,
0.2946,1.0952,4.7691,,,,,,
0.5642,2.5454,10.3332,1070.41,0.74,0.81,0.78,0.07,0.1718
2.6261,2.5868,4.3025,,,,,,
3.1195,2.8004,2.6438,,,,,,
,,,,,,,,
0.0,0.0,1.6469,,,,,,
0.5845,0.871,8.3917,,,,,,
1.1702,4.0381,6.6771,1082.41,0.94,1.0,0.97,0.06,0.1678
4.21,4.3248,6.0786,,,,,,
2.5993,0.5873,0.0,,,,,,
,,,,,,,,
0.29,1.6584,3.3959,,,,,,
3.4913,3.7602,1.7685,,,,,,
2.488,2.602,3.012,1066.16,0.79,0.86,0.82,0.07,0.1647
3.0766,0.2648,0.0,,,,,,
,,,,,,,,
0.0,0.0,2.5609,,,,,,
0.5076,0.0,6.522,,,,,,
2.0874,2.583,11.6609,1073.1,0.74,0.76,0.75,0.02,0.122
3.3797,1.1402,2.3313,,,,,,
0.8381,0.589,0.0,,,,,,
,,,,,,,,
0.0,0.2969,5.9604,,,,,,
0.5913,2.5941,4.3819,,,,,,
2.5046,1.1515,8.7925,1070.84,0.74,0.81,0.78,0.07,0.1632
3.2485,3.1297,4.8662,,,,,,
1.7274,1.438,0.8838,,,,,,
,,,,,,,,
0.2898,0.8759,5.2753,,,,,,
1.1535,1.4101,8.3928,,,,,,
3.2977,2.2484,7.7295,1069.77,0.74,0.81,0.78,0.07,0.1845
1.9524,3.2836,6.1478,,,,,,
3.4069,0.2924,2.6002,,,,,,
,,,,,,,,
0.0,0.8902,1.7717,,,,,,
1.8051,1.4446,8.1707,,,,,,
1.6652,4.2931,11.8629,1079.12,0.91,1.0,0.96,0.09,0.1976
5.0215,2.4989,5.5441,,,,,,
2.8664,1.1547,0.0,,,,,,
,,,,,,,,
0.5954,2.9633,5.2348,,,,,,
1.1836,3.3918,7.8385,,,,,,
4.2048,2.4102,12.161,1075.18,0.88,0.95,0.92,0.07,0.2443
4.4189,2.641,10.4959,,,,,,
1.7516,2.3318,0.8728,,,,,,
,,,,,,,,
0.0,1.4766,4.3021,,,,,,
2.3185,1.4515,9.6009,,,,,,
3.8626,2.8757,7.0332,1072.85,0.82,0.9,0.86,0.08,0.211
