FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
3.4117,1.424,8.6319,1248.48,0.8,0.72,0.76,0.08,2.0,2.0,2.0,0.0,0.1952
2.6997,1.9731,1.6868,,,,,,,,,,
,,,,,,,,,,,,
0.879,1.7365,5.2754,,,,,,,,,,
0.8816,1.5738,6.068,,,,,,,,,,
4.3433,1.7175,3.5046,1205.7,0.73,0.78,0.76,0.05,1.0,1.0,1.0,0.0,0.153
1.7199,1.0957,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.8034,3.0225,4.344,,,,,,,,,,
2.7772,2.8057,5.9771,,,,,,,,,,
3.102,2.2518,6.6214,1297.23,0.72,0.78,0.75,0.06,3.0,3.0,3.0,0.0,0.2177
2.5097,3.0945,3.4289,,,,,,,,,,
,,,,,,,,,,,,
1.021,2.5432,7.3911,,,,,,,,,,
1.6983,2.2845,8.6486,,,,,,,,,,
2.6259,2.0507,11.8917,1250.1399999999999,0.79,0.74,0.77,0.05,2.0,2.0,2.0,0.0,0.2186
1.9717,1.9835,5.0647,,,,,,,,,,
,,,,,,,,,,,,
0.5642,1.1681,5.9994,,,,,,,,,,
0.5621,1.5299,7.1893,,,,,,,,,,
1.9405,2.6964,9.8031,1259.0,0.78,0.81,0.8,0.03,2.0,2.0,2.0,0.0,0.18
1.3557,3.9768,2.5757,,,,,,,,,,
,,,,,,,,,,,,
1.3066,2.0582,6.1005,,,,,,,,,,
3.5108,2.0375,4.4434,,,,,,,,,,
1.6981,2.8207,7.3601,1254.1100000000001,0.74,0.76,0.75,0.02,2.0,2.0,2.0,0.0,0.1889
3.1819,0.8635,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.4578,0.868,6.1044,,,,,,,,,,
2.4981,3.1371,8.3321,,,,,,,,,,
2.0262,2.8336,9.0614,1253.42,0.74,0.76,0.75,0.02,2.0,2.0,2.0,0.0,0.1958
1.1526,1.8799,1.7059,,,,,,,,,,
,,,,,,,,,,,,
0.5861,2.0764,6.7469,,,,,,,,,,
1.9843,1.3989,10.3828,,,,,,,,,,
2.8321,3.1605,4.4564,1259.92,0.81,0.79,0.8,0.02,2.0,2.0,2.0,0.0,0.1808
2.0348,1.173,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.8265,1.163,7.4107,,,,,,,,,,
