capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
9955,14.0,1.0,1051.32,1.0,1.0,1.0,0.0,0.2716
,,,,,,,,
8874,3.0,0.0,1061.96,0.99,1.0,0.99,0.01,0.0397
,,,,,,,,
8199,4.0,1.0,1051.26,0.97,0.98,0.97,0.01,0.2319
,,,,,,,,
7613,3.0,0.0,1055.68,0.9,0.87,0.89,0.03,0.0355
,,,,,,,,
8306,0.0,0.0,1063.07,0.99,0.99,0.99,0.0,0.0277
,,,,,,,,
8118,3.0,0.0,1061.54,0.98,0.99,0.98,0.01,0.0372
,,,,,,,,
8255,21.0,3.0,1051.47,0.99,1.0,0.99,0.01,0.2456
,,,,,,,,
8888,0.0,0.0,1062.47,0.99,1.0,0.99,0.01,0.0296
,,,,,,,,
8716,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0291
,,,,,,,,
8646,0.0,0.0,1062.51,0.99,1.0,0.99,0.01,0.0288
,,,,,,,,
8723,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0291
,,,,,,,,
8961,3.0,1.0,1051.85,0.98,0.99,0.98,0.01,0.231
,,,,,,,,
7417,11.0,0.0,1052.51,0.88,0.85,0.86,0.03,0.062
,,,,,,,,
8965,5.0,0.0,1061.61,0.99,1.0,0.99,0.01,0.0468
,,,,,,,,
