FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
1.7611,3.5285,6.2138,1202.5,0.76,0.76,0.76,0.0,0.1278
1.765,0.5079,2.691,,,,,,
0.5992,0.0,9.8902,,,,,,
,,,,,,,,
0.0,0.4762,1.3939,,,,,,
1.1045,2.0166,6.1289,,,,,,
4.4071,0.887,3.512,1184.44,0.76,0.76,0.76,0.0,0.1062
0.5913,0.0,0.0,,,,,,
,,,,,,,,
0.0,0.2943,1.3909,,,,,,
0.2071,0.5317,3.4683,,,,,,
0.7631,2.1412,2.2945,1201.95,0.76,0.74,0.75,0.02,0.0972
1.4602,1.1614,2.6772,,,,,,
0.0,0.5973,14.3431,,,,,,
,,,,,,,,
0.0,0.5754,1.7425,,,,,,
0.7397,0.5866,3.5541,,,,,,
2.3533,2.6194,8.8325,1195.26,0.78,0.72,0.75,0.06,0.1315
2.0722,2.0742,1.7887,,,,,,
0.0,0.0,12.5185,,,,,,
,,,,,,,,
0.0,0.4847,1.4779,,,,,,
1.1585,1.0754,5.2904,,,,,,
2.6554,0.5955,5.3352,1196.03,0.79,0.72,0.76,0.07,0.1297
1.7636,2.3768,1.7903,,,,,,
0.2991,0.8867,12.4978,,,,,,
,,,,,,,,
0.1038,0.0,3.1877,,,,,,
0.0,0.0,2.5077,,,,,,
0.0,0.2776,0.8652,1203.52,0.77,0.74,0.76,0.03,0.0864
0.5013,0.0,5.146,,,,,,
3.2045,2.1715,9.4803,,,,,,
,,,,,,,,
