FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
4.4088,2.2249,2.6377,,,,,,
,,,,,,,,
0.0,2.3666,6.8835,,,,,,
3.1056,3.8404,5.2585,,,,,,
1.0949,2.6394,6.9982,1205.95,0.84,0.88,0.86,0.04,0.2161
1.9912,2.5292,9.5203,,,,,,
,,,,,,,,
0.2987,1.4807,7.0158,,,,,,
2.9502,2.6681,4.3664,,,,,,
1.6989,2.0431,5.8096,1206.6399999999999,0.88,0.84,0.86,0.04,0.2085
1.7266,2.9883,13.8751,,,,,,
,,,,,,,,
0.0,1.4805,7.871,,,,,,
1.7827,4.1207,1.7709,,,,,,
2.0639,0.4987,0.8305,1197.31,0.72,0.78,0.75,0.06,0.1088
0.2544,0.0,0.0,,,,,,
,,,,,,,,
0.0,1.7254,7.0825,,,,,,
1.4785,1.1715,5.8699,,,,,,
1.4813,2.2965,2.8235,1213.59,0.88,0.94,0.91,0.06,0.1946
4.236,3.5231,9.9627,,,,,,
,,,,,,,,
0.0,2.0643,4.9704,,,,,,
2.3676,2.3369,7.9274,,,,,,
0.5874,1.1842,6.1622,1193.26,0.84,0.75,0.79,0.09,0.1905
1.6746,2.5897,13.8317,,,,,,
,,,,,,,,
0.2913,1.1884,4.4181,,,,,,
1.4827,2.9043,12.4134,,,,,,
1.474,0.5688,3.5225,1200.62,0.8,0.75,0.78,0.05,0.132
1.4771,0.2594,0.0,,,,,,
,,,,,,,,
0.0,1.4614,6.2144,,,,,,
1.7867,1.6577,5.2384,,,,,,
1.1308,0.8654,5.1575,1195.06,0.84,0.75,0.79,0.09,0.1704
1.5968,2.7648,13.0509,,,,,,
,,,,,,,,
0.8875,2.5999,5.2594,,,,,,
2.6518,2.0784,7.7084,,,,,,
2.6571,3.3941,6.8155,1191.15,0.72,0.81,0.77,0.09,0.1806
0.5869,0.8911,0.8948,,,,,,
,,,,,,,,
0.0,0.5956,5.2965,,,,,,
1.7721,1.1908,6.1876,,,,,,
2.6318,1.4816,6.6359,1197.01,0.76,0.84,0.8,0.08,0.1755
1.4914,4.3052,7.1487,,,,,,
,,,,,,,,
0.0,1.4823,4.84,,,,,,
1.4255,2.3691,5.3006,,,,,,
2.3427,0.8789,3.5378,1192.72,0.72,0.78,0.75,0.06,0.1598
4.413,2.4978,0.8694,,,,,,
,,,,,,,,
0.589,2.0606,8.7929,,,,,,
3.4935,2.0419,5.0612,,,,,,
1.4042,1.5466,4.0844,1190.53,0.8,0.72,0.76,0.08,0.1808
0.6379,1.5345,9.5863,,,,,,
,,,,,,,,
0.5528,3.2305,5.3162,,,,,,
3.2328,1.4714,3.5769,,,,,,
2.0626,0.8946,1.5285,1204.18,0.88,0.81,0.84,0.07,0.1724
0.2984,2.3509,12.3902,,,,,,
,,,,,,,,
0.2953,3.511,12.2588,,,,,,
2.2693,2.0656,0.8938,,,,,,
1.1707,0.576,2.5916,1205.5,0.8,0.78,0.79,0.02,0.1245
0.3675,0.1501,0.0,,,,,,
,,,,,,,,
1.1878,2.8867,12.3135,,,,,,
2.3137,1.9762,2.0628,,,,,,
1.755,1.0036,0.8441,1200.19,0.8,0.75,0.78,0.05,0.1368
0.4015,0.5836,0.0,,,,,,
,,,,,,,,
2.6578,2.3569,10.5698,,,,,,
3.8198,2.3217,11.5668,,,,,,
3.0941,2.642,6.1933,1189.71,0.84,0.75,0.79,0.09,0.2299
1.3739,0.8836,1.7644,,,,,,
,,,,,,,,
0.2947,0.2859,6.696,,,,,,
1.1855,1.1492,6.1127,1189.29,0.88,0.97,0.93,0.09,0.1901
4.3956,4.3878,6.2268,,,,,,
